,0
0,Frustrated
1,Frustrated
2,Frustrated
3,Frustrated
4,Frustrated
5,Frustrated
6,Frustrated
7,Frustrated
8,Frustrated
9,Frustrated
10,Frustrated
11,Frustrated
12,Frustrated
13,Frustrated
14,Frustrated
15,Frustrated
16,Frustrated
17,Frustrated
18,Frustrated
19,Frustrated
20,Frustrated
21,Frustrated
22,Frustrated
23,Frustrated
24,Frustrated
25,Frustrated
26,Frustrated
27,Frustrated
28,Frustrated
29,Frustrated
30,Frustrated
31,Bored
32,Frustrated
33,Frustrated
34,Frustrated
35,Frustrated
36,Frustrated
37,Frustrated
38,Frustrated
39,Frustrated
40,Frustrated
41,Frustrated
42,Frustrated
43,Frustrated
44,Frustrated
45,Frustrated
46,Frustrated
47,Frustrated
48,Frustrated
49,Frustrated
50,Frustrated
51,Frustrated
52,Frustrated
53,Frustrated
54,Frustrated
55,Frustrated
56,Frustrated
57,Frustrated
58,Frustrated
59,Frustrated
60,Frustrated
61,Frustrated
62,Frustrated
63,Frustrated
64,Frustrated
65,Frustrated
66,Frustrated
67,Frustrated
68,Frustrated
69,Frustrated
70,Frustrated
71,Frustrated
72,Frustrated
73,Frustrated
74,Frustrated
75,Frustrated
76,Frustrated
77,Frustrated
78,Frustrated
79,Frustrated
80,Frustrated
81,Frustrated
82,Frustrated
83,Frustrated
84,Frustrated
85,Frustrated
86,Frustrated
87,Frustrated
88,Frustrated
89,Frustrated
90,Frustrated
91,Frustrated
92,Frustrated
93,Frustrated
